direction,entry_price,entry_time_jst,event_id,risk_units,sl_price,spec_version,tp_price,trade_id
LONG,0.4373,2026-09-25T16:52:57.075000+09:00,511_202609251650_WLD_USDT_LONG,1,0.43511350000000004,1.0,0.4394865,511_202609251650_WLD_USDT_LONG_B1_REFERENCE
LONG,1557.83,2026-09-25T16:52:35.604000+09:00,511_202609251650_ZEC_USDT_LONG,1,1550.0408499999999,1.0,1565.6191499999998,511_202609251650_ZEC_USDT_LONG_B1_REFERENCE
LONG,13.549,2026-09-25T17:04:19.560000+09:00,511_202609251700_LINK_USDT_LONG,1,13.481254999999999,1.0,13.616744999999998,511_202609251700_LINK_USDT_LONG_B1_REFERENCE
LONG,1091.89,2026-09-25T17:04:11.279000+09:00,511_202609251700_MUSTOCK_USDT_LONG,1,1086.43055,1.0,1097.34945,511_202609251700_MUSTOCK_USDT_LONG_B1_REFERENCE
LONG,0.5667,2026-09-25T17:04:13.296000+09:00,511_202609251700_ONDO_USDT_LONG,1,0.5638664999999999,1.0,0.5695334999999999,511_202609251700_ONDO_USDT_LONG_B1_REFERENCE
LONG,298.44,2026-09-25T17:04:18.569000+09:00,511_202609251700_TAO_USDT_LONG,1,296.9478,1.0,299.93219999999997,511_202609251700_TAO_USDT_LONG_B1_REFERENCE
LONG,13.588,2026-09-25T17:13:54.425000+09:00,511_202609251710_LINK_USDT_LONG,1,13.520059999999999,1.0,13.655939999999998,511_202609251710_LINK_USDT_LONG_B1_REFERENCE
LONG,1094.58,2026-09-25T17:13:47.196000+09:00,511_202609251710_MUSTOCK_USDT_LONG,1,1089.1071,1.0,1100.0529,511_202609251710_MUSTOCK_USDT_LONG_B1_REFERENCE
LONG,63.98,2026-09-25T17:13:46.173000+09:00,511_202609251710_SILVER_USDT_LONG,1,63.6601,1.0,64.2999,511_202609251710_SILVER_USDT_LONG_B1_REFERENCE
LONG,1793.74,2026-09-25T17:13:59.507000+09:00,511_202609251710_SNDKSTOCK_USDT_LONG,1,1784.7713,1.0,1802.7087,511_202609251710_SNDKSTOCK_USDT_LONG_B1_REFERENCE
LONG,0.4416,2026-09-25T17:14:03.614000+09:00,511_202609251710_WLD_USDT_LONG,1,0.439392,1.0,0.4438079999999999,511_202609251710_WLD_USDT_LONG_B1_REFERENCE
LONG,4285.28,2026-09-25T17:13:44.117000+09:00,511_202609251710_XAU_USDT_LONG,1,4263.8535999999995,1.0,4306.706399999999,511_202609251710_XAU_USDT_LONG_B1_REFERENCE
LONG,0.2527,2026-09-25T17:23:19.049000+09:00,511_202609251720_ADA_USDT_LONG,1,0.25143649999999995,1.0,0.25396349999999995,511_202609251720_ADA_USDT_LONG_B1_REFERENCE
LONG,13.741,2026-09-25T17:23:12.236000+09:00,511_202609251720_LINK_USDT_LONG,1,13.672295,1.0,13.809704999999997,511_202609251720_LINK_USDT_LONG_B1_REFERENCE
LONG,4275.3,2026-09-25T17:23:04.548000+09:00,511_202609251720_XAUT_USDT_LONG,1,4253.9235,1.0,4296.6765,511_202609251720_XAUT_USDT_LONG_B1_REFERENCE
LONG,4284.8,2026-09-25T17:23:03.591000+09:00,511_202609251720_XAU_USDT_LONG,1,4263.376,1.0,4306.224,511_202609251720_XAU_USDT_LONG_B1_REFERENCE
LONG,1575.76,2026-09-25T17:23:00.723000+09:00,511_202609251720_ZEC_USDT_LONG,1,1567.8812,1.0,1583.6387999999997,511_202609251720_ZEC_USDT_LONG_B1_REFERENCE
LONG,0.2526,2026-09-25T17:34:00.920000+09:00,511_202609251730_ADA_USDT_LONG,1,0.251337,1.0,0.25386299999999995,511_202609251730_ADA_USDT_LONG_B1_REFERENCE
LONG,0.22001,2026-09-25T17:34:05.542000+09:00,511_202609251730_ARB_USDT_LONG,1,0.21890995000000002,1.0,0.22111004999999997,511_202609251730_ARB_USDT_LONG_B1_REFERENCE
LONG,4.448e-06,2026-09-25T17:33:56.250000+09:00,511_202609251730_PEPE_USDT_LONG,1,4.42576e-06,1.0,4.470239999999999e-06,511_202609251730_PEPE_USDT_LONG_B1_REFERENCE
LONG,1.0318,2026-09-25T17:33:49.794000+09:00,511_202609251730_SUI_USDT_LONG,1,1.0266410000000001,1.0,1.036959,511_202609251730_SUI_USDT_LONG_B1_REFERENCE
LONG,303.62,2026-09-25T17:33:55.304000+09:00,511_202609251730_TAO_USDT_LONG,1,302.1019,1.0,305.13809999999995,511_202609251730_TAO_USDT_LONG_B1_REFERENCE
LONG,1.5455,2026-09-25T17:33:44.210000+09:00,511_202609251730_XRP_USDT_LONG,1,1.5377725,1.0,1.5532275,511_202609251730_XRP_USDT_LONG_B1_REFERENCE
LONG,1581.8,2026-09-25T17:33:43.017000+09:00,511_202609251730_ZEC_USDT_LONG,1,1573.8909999999998,1.0,1589.7089999999998,511_202609251730_ZEC_USDT_LONG_B1_REFERENCE
LONG,770.12,2026-09-25T17:43:53.266000+09:00,511_202609251740_SPY_USDT_LONG,1,766.2694,1.0,773.9705999999999,511_202609251740_SPY_USDT_LONG_B1_REFERENCE
LONG,13.837,2026-09-25T17:53:19.104000+09:00,511_202609251750_LINK_USDT_LONG,1,13.767814999999999,1.0,13.906184999999999,511_202609251750_LINK_USDT_LONG_B1_REFERENCE
LONG,4296.06,2026-09-25T17:53:11.597000+09:00,511_202609251750_XAU_USDT_LONG,1,4274.5797,1.0,4317.5403,511_202609251750_XAU_USDT_LONG_B1_REFERENCE
LONG,4.739,2026-09-25T18:04:13.626000+09:00,511_202609251800_NEAR_USDT_LONG,1,4.715305,1.0,4.762694999999999,511_202609251800_NEAR_USDT_LONG_B1_REFERENCE
LONG,0.5648,2026-09-25T18:04:12.582000+09:00,511_202609251800_ONDO_USDT_LONG,1,0.5619759999999999,1.0,0.5676239999999999,511_202609251800_ONDO_USDT_LONG_B1_REFERENCE
LONG,4.4583e-06,2026-09-25T18:04:18.886000+09:00,511_202609251800_PEPE_USDT_LONG,1,4.4360085e-06,1.0,4.4805915e-06,511_202609251800_PEPE_USDT_LONG_B1_REFERENCE
LONG,153.84,2026-09-25T18:04:31.114000+09:00,511_202609251800_SOXL_USDT_LONG,1,153.0708,1.0,154.6092,511_202609251800_SOXL_USDT_LONG_B1_REFERENCE
LONG,0.4482,2026-09-25T18:04:26.560000+09:00,511_202609251800_WLD_USDT_LONG,1,0.445959,1.0,0.4504409999999999,511_202609251800_WLD_USDT_LONG_B1_REFERENCE
LONG,0.2526,2026-09-25T18:13:50.053000+09:00,511_202609251810_ADA_USDT_LONG,1,0.251337,1.0,0.25386299999999995,511_202609251810_ADA_USDT_LONG_B1_REFERENCE
