time,symbol,event,direction,entry,sl,tp,exit,pnl,balance,note
2026-08-24T12:14:16.785544,SOXL_USDT,OPEN,SHORT,117.72,120.71094,111.73812000000001,,,38.0,A_MARKET
2026-08-24T13:16:06.723078,ENA_USDT,OPEN,LONG,0.16687,0.16104726000000003,0.17851547999999992,,,38.0,A_MARKET
2026-08-24T15:41:18.491767,ENA_USDT,LOSS,LONG,0.16687,0.16104726000000003,0.17851547999999992,0.16104726000000003,-0.57,37.43,SL到達
2026-08-24T15:41:18.491858,HYPE_USDT,OPEN,SHORT,79.61775335024652,80.55579,77.74168005073955,,,37.43,LIMIT
2026-08-24T17:20:59.504251,HYPE_USDT,WIN,SHORT,79.61775335024652,80.55579,77.74168005073955,77.74168005073955,1.1400000000000001,38.57,TP到達
2026-08-24T17:20:59.504356,TAO_USDT,OPEN,SHORT,233.99310603640157,237.39383999999998,227.19163810920475,,,38.57,LIMIT
2026-08-24T19:05:50.297897,TAO_USDT,LOSS,SHORT,233.99310603640157,237.39383999999998,227.19163810920475,237.39383999999998,-0.56145,38.00855,SL到達
2026-08-24T19:05:50.297987,XAUT_USDT,OPEN,LONG,4620.973517240985,4599.3828,4664.154951722953,,,38.00855,LIMIT
2026-08-24T22:35:52.381394,SOXL_USDT,WIN,SHORT,117.72,120.71094,111.73812000000001,111.73812000000001,1.1400000000000001,39.14855,TP到達
2026-08-24T22:35:52.381523,SKHYSTOCK_USDT,OPEN,SHORT,157.87792109968288,159.54845999999998,154.53684329904868,,,39.14855,LIMIT
2026-08-24T22:40:59.968882,SKHYSTOCK_USDT,WIN,SHORT,157.87792109968288,159.54845999999998,154.53684329904868,154.53684329904868,1.1402565,40.2888065,TP到達
2026-08-24T22:40:59.968997,AAVE_USDT,OPEN,SHORT,136.6778360490202,138.47639999999998,133.0807081470606,,,40.2888065,LIMIT
2026-08-25T02:35:58.174610,AAVE_USDT,WIN,SHORT,136.6778360490202,138.47639999999998,133.0807081470606,133.0807081470606,1.1744565,41.463263,TP到達
2026-08-25T02:35:58.174719,ENA_USDT,OPEN,SHORT,0.15680271827729528,0.16320576,0.14399663483188582,,,41.463263,LIMIT
2026-08-25T08:50:57.713147,XAUT_USDT,WIN,LONG,4620.973517240985,4599.3828,4664.154951722953,4664.154951722953,0.9344661751654156,42.397729175165416,TP到達
2026-08-25T08:50:57.713251,ADA_USDT,OPEN,LONG,0.22078438607284517,0.21846220000000002,0.22542875821853547,,,42.397729175165416,LIMIT
2026-08-25T10:06:06.805206,ADA_USDT,WIN,LONG,0.22078438607284517,0.21846220000000002,0.22542875821853547,0.22542875821853547,1.24389789,43.641627065165416,TP到達
2026-08-25T10:06:06.805387,WLD_USDT,OPEN,LONG,0.4053668680571961,0.3974036,0.42129340417158817,,,43.641627065165416,LIMIT
2026-08-25T21:05:54.266906,WLD_USDT,LOSS,LONG,0.4053668680571961,0.3974036,0.42129340417158817,0.3974036,-0.6359659376274813,43.005661127537934,SL到達
2026-08-25T21:05:54.267044,SPCXSTOCK_USDT,OPEN,LONG,137.0610215129784,136.40664,138.3697845389352,,,43.005661127537934,LIMIT
2026-08-25T22:36:02.928518,SPCXSTOCK_USDT,LOSS,LONG,137.0610215129784,136.40664,138.3697845389352,136.40664,-0.477438082508702,42.52822304502923,SL到達
2026-08-25T22:36:02.928627,XAU_USDT,OPEN,SHORT,4630.839767726177,4659.28998,4573.939343178533,,,42.52822304502923,LIMIT
2026-08-26T00:45:57.530510,XAU_USDT,LOSS,SHORT,4630.839767726177,4659.28998,4573.939343178533,4659.28998,-0.6143639966146305,41.9138590484146,SL到達
2026-08-26T00:45:57.530611,SPCXSTOCK_USDT,OPEN,LONG,138.04323780283352,136.39666,141.33639340850056,,,41.9138590484146,LIMIT
2026-08-26T06:01:14.103804,ENA_USDT,WIN,SHORT,0.15680271827729528,0.16320576,0.14399663483188582,0.14399663483188582,1.2086641949999999,43.1225232434146,TP到達
2026-08-26T06:01:14.103924,WLD_USDT,OPEN,SHORT,0.38556880484594336,0.3955896,0.3655272145378301,,,43.1225232434146,LIMIT
2026-08-26T11:40:56.607005,WLD_USDT,LOSS,SHORT,0.38556880484594336,0.3955896,0.3655272145378301,0.3955896,-0.6287078857262188,42.493815357688376,SL到達
2026-08-26T11:40:56.607117,ETH_USDT,OPEN,LONG,2460.3789190186794,2439.07208,2502.9925970560384,,,42.493815357688376,LIMIT
2026-08-26T22:31:10.646939,ETH_USDT,LOSS,LONG,2460.3789190186794,2439.07208,2502.9925970560384,2439.07208,-0.646837848651219,41.84697750903716,SL到達
2026-08-26T22:31:10.647097,SPX500_USDT,OPEN,SHORT,7665.0652539898965,7694.7588,7605.67816196969,,,41.84697750903716,LIMIT
