trade_id,strategy,symbol,direction,entry,sl_pct,rr,max_hours,sl_price,tp_price,event,exit_price,result_r,holding_hours,mfe_pct,mae_pct,exit_bar_time_jst,note
109a16d1024fecf14f30a0b2,HIGH_EDGE,NVIDIA_USDT,SHORT,225.77,0.35,2.0,12,226.56019500000002,224.18961000000002,SL,226.56019500000002,-1.0,2.3999,3.8933427824777516,1.5192452495902815,2026-08-28 19:35:00,SL
109a16d1024fecf14f30a0b2,HIGH_EDGE,NVIDIA_USDT,SHORT,225.77,0.35,2.0,24,226.56019500000002,224.18961000000002,SL,226.56019500000002,-1.0,2.3999,3.8933427824777516,1.5192452495902815,2026-08-28 19:35:00,SL
109a16d1024fecf14f30a0b2,HIGH_EDGE,NVIDIA_USDT,SHORT,225.77,0.5,1.0,3,226.89884999999998,224.64115,SL,226.89884999999998,-1.0,2.4832,0.2834743322850754,0.6023829561057648,2026-08-28 19:40:00,SL
109a16d1024fecf14f30a0b2,HIGH_EDGE,NVIDIA_USDT,SHORT,225.77,0.5,1.0,6,226.89884999999998,224.64115,SL,226.89884999999998,-1.0,2.4832,1.0408823138592473,1.5192452495902815,2026-08-28 19:40:00,SL
109a16d1024fecf14f30a0b2,HIGH_EDGE,NVIDIA_USDT,SHORT,225.77,0.5,1.0,12,226.89884999999998,224.64115,SL,226.89884999999998,-1.0,2.4832,3.8933427824777516,1.5192452495902815,2026-08-28 19:40:00,SL
109a16d1024fecf14f30a0b2,HIGH_EDGE,NVIDIA_USDT,SHORT,225.77,0.5,1.0,24,226.89884999999998,224.64115,SL,226.89884999999998,-1.0,2.4832,3.8933427824777516,1.5192452495902815,2026-08-28 19:40:00,SL
109a16d1024fecf14f30a0b2,HIGH_EDGE,NVIDIA_USDT,SHORT,225.77,0.5,1.5,3,226.89884999999998,224.076725,SL,226.89884999999998,-1.0,2.4832,0.2834743322850754,0.6023829561057648,2026-08-28 19:40:00,SL
109a16d1024fecf14f30a0b2,HIGH_EDGE,NVIDIA_USDT,SHORT,225.77,0.5,1.5,6,226.89884999999998,224.076725,SL,226.89884999999998,-1.0,2.4832,1.0408823138592473,1.5192452495902815,2026-08-28 19:40:00,SL
109a16d1024fecf14f30a0b2,HIGH_EDGE,NVIDIA_USDT,SHORT,225.77,0.5,1.5,12,226.89884999999998,224.076725,SL,226.89884999999998,-1.0,2.4832,3.8933427824777516,1.5192452495902815,2026-08-28 19:40:00,SL
109a16d1024fecf14f30a0b2,HIGH_EDGE,NVIDIA_USDT,SHORT,225.77,0.5,1.5,24,226.89884999999998,224.076725,SL,226.89884999999998,-1.0,2.4832,3.8933427824777516,1.5192452495902815,2026-08-28 19:40:00,SL
109a16d1024fecf14f30a0b2,HIGH_EDGE,NVIDIA_USDT,SHORT,225.77,0.5,2.0,3,226.89884999999998,223.5123,SL,226.89884999999998,-1.0,2.4832,0.2834743322850754,0.6023829561057648,2026-08-28 19:40:00,SL
109a16d1024fecf14f30a0b2,HIGH_EDGE,NVIDIA_USDT,SHORT,225.77,0.5,2.0,6,226.89884999999998,223.5123,SL,226.89884999999998,-1.0,2.4832,1.0408823138592473,1.5192452495902815,2026-08-28 19:40:00,SL
109a16d1024fecf14f30a0b2,HIGH_EDGE,NVIDIA_USDT,SHORT,225.77,0.5,2.0,12,226.89884999999998,223.5123,SL,226.89884999999998,-1.0,2.4832,3.8933427824777516,1.5192452495902815,2026-08-28 19:40:00,SL
109a16d1024fecf14f30a0b2,HIGH_EDGE,NVIDIA_USDT,SHORT,225.77,0.5,2.0,24,226.89884999999998,223.5123,SL,226.89884999999998,-1.0,2.4832,3.8933427824777516,1.5192452495902815,2026-08-28 19:40:00,SL
109a16d1024fecf14f30a0b2,HIGH_EDGE,NVIDIA_USDT,SHORT,225.77,0.75,1.0,3,227.46327500000004,224.076725,TIME_EXIT,226.86,-0.64372296,3.0665,0.2834743322850754,0.6023829561057648,2026-08-28 20:15:00,3h時間切れ
109a16d1024fecf14f30a0b2,HIGH_EDGE,NVIDIA_USDT,SHORT,225.77,0.75,1.0,6,227.46327500000004,224.076725,SL,227.46327500000004,-1.0,3.2332,1.0408823138592473,1.5192452495902815,2026-08-28 20:25:00,SL
109a16d1024fecf14f30a0b2,HIGH_EDGE,NVIDIA_USDT,SHORT,225.77,0.75,1.0,12,227.46327500000004,224.076725,SL,227.46327500000004,-1.0,3.2332,3.8933427824777516,1.5192452495902815,2026-08-28 20:25:00,SL
109a16d1024fecf14f30a0b2,HIGH_EDGE,NVIDIA_USDT,SHORT,225.77,0.75,1.0,24,227.46327500000004,224.076725,SL,227.46327500000004,-1.0,3.2332,3.8933427824777516,1.5192452495902815,2026-08-28 20:25:00,SL
109a16d1024fecf14f30a0b2,HIGH_EDGE,NVIDIA_USDT,SHORT,225.77,0.75,1.5,3,227.46327500000004,223.23008750000002,TIME_EXIT,226.86,-0.64372296,3.0665,0.2834743322850754,0.6023829561057648,2026-08-28 20:15:00,3h時間切れ
109a16d1024fecf14f30a0b2,HIGH_EDGE,NVIDIA_USDT,SHORT,225.77,0.75,1.5,6,227.46327500000004,223.23008750000002,SL,227.46327500000004,-1.0,3.2332,1.0408823138592473,1.5192452495902815,2026-08-28 20:25:00,SL
